Session ID*,Transcript Status,Score,Pass/Fail,Request Date/Time,Registration Date/Time,User ID*,Completion Date/Time,Due Date/Time‡,Archived,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Comments
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:22:09,2018-12-13 16:22:09,1089,2018-12-01 12:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-09-16 14:10:53,2019-09-16 14:10:53,1094,2019-10-24 14:55:00,,0,0,0,,,,
Computer & Software_Microsoft Outlook Class,Completed,0,Pass,2015-03-12 08:00:00,2015-03-12 08:00:00,1120,2015-03-12 00:00:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-03-05 08:00:00,2017-03-05 08:00:00,1129,2017-03-05 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-09-10 08:00:00,2015-09-10 08:00:00,1156,2015-09-10 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 14:48:56,2018-12-13 14:48:56,1166,2018-11-01 13:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:11:16,2018-12-13 15:11:16,1214,2018-11-01 14:30:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-12-09 22:20:35,2019-12-09 22:20:35,1214,2019-10-24 14:55:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-04-24 08:00:00,2017-04-24 08:00:00,1246,2017-04-28 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,1246,2015-08-27 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-10-04 08:00:00,2017-10-04 08:00:00,1321,2017-04-14 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:23:27,2018-12-13 15:23:27,1321,2018-11-01 21:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0001,Completed,0,Pass,2019-09-13 21:54:31,2019-09-13 21:54:31,1321,2019-10-24 14:55:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-07-24 08:00:00,2017-07-24 08:00:00,1322,2017-07-28 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,1322,2015-08-27 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-04-30 08:00:00,2017-04-30 08:00:00,1378,2017-04-30 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,1397,2015-08-27 00:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0001,Completed,0,Pass,2019-09-17 19:24:09,2019-09-17 19:24:09,1437,2019-10-24 14:55:00,,0,0,0,,,,
Computer & Software_Excel Intermediate-0003,Completed,0,Pass,2018-11-16 20:24:56,2018-11-16 20:24:56,1467,2019-02-15 18:55:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-03-05 08:00:00,2017-03-05 08:00:00,1467,2017-03-05 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2016-08-06 08:00:00,2016-08-06 08:00:00,1500,2016-09-06 00:00:00,,0,0,0,,,,
QR code ILTcourse-0001,Completed,0,Pass,2024-01-22 22:51:08,2024-01-22 22:51:08,1520,2024-01-22 22:53:23,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:20:56,2018-12-13 15:20:56,1521,2018-11-01 21:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-11-10 08:00:00,2017-11-10 08:00:00,1521,2017-11-10 00:00:00,,0,0,0,,,,
Technical_Fanuc Level I (Ranken) Class,Completed,0,Pass,2018-12-13 20:22:56,2018-12-13 20:22:56,1521,2018-03-05 22:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-03-27 08:00:00,2017-03-27 08:00:00,1527,2017-03-04 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-07-22 08:00:00,2015-07-22 08:00:00,1529,2015-07-22 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:23:27,2018-12-13 15:23:27,1622,2018-11-01 21:00:00,,0,0,0,,,,
