OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Approver ID
1154_del,1154_GD ----_del,1,0,GD_Division,DefaultAdmin,This Organization is for 1154_del Users only,
238_S8030M_del,238_S8030M - Corporate Administration - 8030M_del,1,0,Department,87571,This Organization is for 238_S8030M_del Users only,
258_I8030M_del,258_EMI 8030 Corporate Admin_del,1,0,Department,87571,This Organization is for 258_I8030M_del Users only,
31200,T8Y-031200,1,0,Department,DefaultAdmin,,
344_INYECCIÓN - 264445_del,344_Inyección - 264445_del,1,0,AGGIMX Departments,DefaultAdmin,This Organization is for 344_INYECCIÓN - 264445_del Users only,
4,Senior Manager,1,0,Job Manager Level,DefaultAdmin,This Organization is for 4 Users only,
4501,Airbag Assembly - 4501,1,0,Department,DefaultAdmin,This Organization is for 4501 Users only,
4501X,Airbag Assembly Mgmt - 4501X,1,0,Department,DefaultAdmin,This Organization is for 4501X Users only,
4503,Polyurethane - 4503,1,0,Department,DefaultAdmin,This Organization is for 4503 Users only,
4503X,Polyurethane Mgmt - 4503X,1,0,Department,DefaultAdmin,This Organization is for 4503X Users only,
4506,Diecast - 4506,1,0,Department,DefaultAdmin,This Organization is for 4506 Users only,
4506X,Diecast Mgmt - 4506X,1,0,Department,DefaultAdmin,This Organization is for 4506X Users only,
4507,Stamping - 4507,1,0,Department,DefaultAdmin,This Organization is for 4507 Users only,
4507X,STAMPING MGMT - 4507XGMT,1,0,Department,DefaultAdmin,This Organization is for 4507X Users only,
4508,SW Injection - 4508,1,0,Department,DefaultAdmin,This Organization is for 4508 Users only,
4509,Inflator Assy Bldg #10 - 4509,1,0,Department,87571,This Organization is for 4509 Users only,
4509X,Inflator Assy Mgmt Bldg #10 - 4509,1,0,Department,87571,This Organization is for 4509X Users only,
4510,Mold Setters - 4510,1,0,Department,87571,This Organization is for 4510 Users only,
4513,SW ASSY - 4513,1,0,Department,DefaultAdmin,This Organization is for 4513 Users only,
4513X,SW Assy Bldg 10 Mgmt,1,0,Department,DefaultAdmin,This Organization is for 4513X Users only,
4514,Inflator Assembly SS - 4514,1,0,Department,DefaultAdmin,This Organization is for 4514 Users only,
4514X,Inflator Assembly Mgmt - 4514X,1,0,Department,DefaultAdmin,This Organization is for 4514X Users only,
4518,Service - 4518,1,0,Department,DefaultAdmin,This Organization is for 4518 Users only,
4519,A/B Assy - Bldg 10 (Air Bags)- 4519,1,0,Department,DefaultAdmin,This Organization is for 4519 Users only,
4519X,A/B Assy - Bldg 10 Mgmt - 4519X,1,0,Department,DefaultAdmin,This Organization is for 4519X Users only,
4521X,Interior Paint - 4521X,1,0,Department,DefaultAdmin,This Organization is for 4521X Users only,
4523,SW ASSY - 4523,1,0,Department,87571,This Organization is for 4523 Users only,
4523X,SW Assy Mgmt - 4523X,1,0,Department,87571,This Organization is for 4523X Users only,
4599,EF 4599 SS AGGU,1,0,Department,DefaultAdmin,This Organization is for 4599 Users only,
4602,Exterior Paint - 4602,1,0,Department,DefaultAdmin,This Organization is for 4602 Users only,
4612,Injection - 4612,1,0,Department,DefaultAdmin,This Organization is for 4612 Users only,
4612X,Injection Mgmt - 4612X,1,0,Department,DefaultAdmin,This Organization is for 4612X Users only,
4615,Injection - 4615,1,0,Department,DefaultAdmin,This Organization is for 4615 Users only,
4615M,Injection MS - 4615M,1,0,Department,DefaultAdmin,This Organization is for 4615M Users only,
4615X,Injection Mgmt - 4615X,1,0,Department,DefaultAdmin,This Organization is for 4615X Users only,
4616,Paint Prod - 4616,1,0,Department,DefaultAdmin,This Organization is for 4616 Users only,
4616M,Paint MS - 4616M,1,0,Department,DefaultAdmin,This Organization is for 4616M Users only,
4617,Assembly - 4617,1,0,Department,DefaultAdmin,This Organization is for 4617 Users only,
4619,MS - 4619,1,0,Department,DefaultAdmin,This Organization is for 4619 Users only,
4623,Mold Setters - 4623,1,0,Department,DefaultAdmin,This Organization is for 4623 Users only,
4623X,Mold Setters Mgmt - 4623X,1,0,Department,DefaultAdmin,This Organization is for 4623X Users only,
4624,Injection K Section - 4624,1,0,Department,DefaultAdmin,This Organization is for 4624 Users only,
4624X,K Section Mgmt- 4624X,1,0,Department,DefaultAdmin,This Organization is for 4624X Users only,
4625,Chrome Assembly - 4625,1,0,Department,DefaultAdmin,This Organization is for 4625 Users only,
4627,Chrome - 4627,1,0,Department,DefaultAdmin,This Organization is for 4627 Users only,
4627X,Chrome Mgmt - 4627X,1,0,Department,DefaultAdmin,This Organization is for 4627X Users only,
4628,Trial/Service Bldg - 4628,1,0,Department,DefaultAdmin,This Organization is for 4628 Users only,
4629,Injection I Section - 4629,1,0,Department,DefaultAdmin,This Organization is for 4629 Users only,
4629X,Injection I Section Mgmt - 4629X,1,0,Department,DefaultAdmin,This Organization is for 4629X Users only,
4630,Injection D Section - 4630,1,0,Department,DefaultAdmin,This Organization is for 4630 Users only,
4630X,Injection D Section Mgmt - 4630X,1,0,Department,DefaultAdmin,This Organization is for 4630X Users only,
4631,Injection F Section - 4631,1,0,Department,DefaultAdmin,This Organization is for 4631 Users only,
4631X,Injection F Section Mgmt - 4631X,1,0,Department,DefaultAdmin,This Organization is for 4631X Users only,
4632,Injection A Section - 4632,1,0,Department,DefaultAdmin,This Organization is for 4632 Users only,
4632X,Injection A Section Mgmt - 4632X,1,0,Department,DefaultAdmin,This Organization is for 4632X Users only,
4633,Regrind - 4633,1,0,Department,DefaultAdmin,This Organization is for 4633 Users only,
4633X,Regrind Mgmt - 4633X,1,0,Department,DefaultAdmin,This Organization is for 4633X Users only,
4634,Paint and Assembly - 4634,1,0,Department,DefaultAdmin,This Organization is for 4634 Users only,
4634SU,4634SETUP - Paint Set Up,1,0,Department,DefaultAdmin,This Organization is for 4634SU Users only,
4634X,Paint and Assembly Mgmt - 4634X,1,0,Department,DefaultAdmin,This Organization is for 4634X Users only,
4635,Injection B Section - 4635,1,0,Department,DefaultAdmin,This Organization is for 4635 Users only,
4635X,Injection B Section Mgmt - 4635X,1,0,Department,DefaultAdmin,This Organization is for 4635X Users only,
4636,Injection J Section - 4636,1,0,Department,DefaultAdmin,This Organization is for 4636 Users only,
4636X,Injection J Section Mgmt - 4636X,1,0,Department,DefaultAdmin,This Organization is for 4636X Users only,
4637,Injection E Section - 4637,1,0,Department,DefaultAdmin,This Organization is for 4637 Users only,
4637X,Injection E Section Mgmt - 4637X,1,0,Department,DefaultAdmin,This Organization is for 4637X Users only,
4638,Injection G Section - 4638,1,0,Department,DefaultAdmin,This Organization is for 4638 Users only,
