Event ID,Session ID*,Part Start Date/Time,Part End Date/Time,Part Break Duration,Part Timezone,Display Times in TimeZone of User,Part name,Part Location,Part Instructor*,Session Status,Cancellation Reason,Cancellation Comment,Available Languages,Vendor/Provider,Registration Deadline,Registration Deadline - Before/After,Allow waitlist for sessions,Allow Auto-Management of Waitlist‡, Auto-Register User upon Granting Waitlist‡,Minimum Users,Maximum Users,Credits,Attendance Parts,Emails,Currency Code,Price Per Session,No-show Penalty – Monetary,No-show Penalty – Training Units,Restrict Withdraw from Session,Refund Type,Refund Percentage‡,Refund Amount‡,Refund Number of Days prior to start‡,Withdrawal Penalty Percentage,Withdrawal Penalty Amount,Penalty Number of Days prior to start,Created/Modified By,Do not allow exception request,Copy Availability from its Event,Availability to All Users,Availability to Specific Users,Availability to OU‡,Availability OU Type,Register Upon Approval,Pre-Approved,Includes Subordinates,Training Contact,Training Units,Default Training Unit Price,Required Training Approvals,Required Completion Approvals,Request Form
11th Annual Steel Markets North America Conference (vendor),11th Annual Steel Markets North America Conference (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,11th Annual Steel Markets North America Conference Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
2-Day APQP J PPAP 4th Edition Training (vendor),2-Day APQP J PPAP 4th Edition Training (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,2-Day APQP J PPAP 4th Edition Training Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
"2-Day FMEA, SPC, J MSA Training (vendor)","2-Day FMEA, SPC, J MSA Training (vendor) Class",01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,"2-Day FMEA, SPC, J MSA Training Class",Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
3D Vision Smart Cameras - COGNEX (vendor),3D Vision Smart Cameras - COGNEX (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,3D Vision Smart Cameras - COGNEX Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
7 Habits (MAC),7 Habits (MAC) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,The 7 Habits of Highly Effective People Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Accounting_Inventory,Accounting_Inventory Class (AGGU),01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Inventory Count & Audit Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Adaptive Leadership (MAC),Adaptive Leadership (MAC) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Adaptive Leadership Workshop Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Auditor Training (vendor),Auditor Training (vendor) Class,03/27/2017 12:00:00.000,03/29/2017 21:00:00.000,,9,1,Transitioning to IATF 16949 Auditor Training 24-Hr Cert Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
BIOL-101-B1 (College Transcript),BIOL-101-B1 (College Transcript) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,General Biology Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
CAD110 (vendor),CAD110 (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,CAD110 SolidWorks Essentials Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
CAD110 Test (vendor),CAD110 Test (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,CAD110 SOLIDWORKS Essentials Competency Test Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
CAD215 SOLIDWORKS Assembly Molding (vendor),CAD215 SOLIDWORKS Assembly Molding (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,CAD215 SOLIDWORKS Assembly Molding Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Certified Die Casting Technician (vendor),Certified Die Casting Technician (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Certified Die Casting Technician Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Cognex In-Sight (vendor),Cognex In-Sight (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Cognex In-Sight EasyBuilder & Spreadsheet Standard Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Collaborative Robotics - Meet BAXTER - RE - THINK (vendor),Collaborative Robotics - Meet BAXTER - RE - THINK (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Collaborative Robotics - Meet BAXTER - RE - THINK ROBOTICS Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Compliance_Fire Extinguisher (Cintas),Compliance_Fire Extinguisher (Cintas) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Live Fire Extinguisher Training (Cintas) Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Compliance_IATA Dangerous Goods Training,Compliance_IATA Dangerous Goods Training Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,IATA Dangerous Goods Training Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Compliance_IMDG,Compliance_IMDG Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,IMDG Dangerous Goods Training Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Compliance_Initial/Recurrent (vendor),Compliance_Initial/Recurrent (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,"Initial/Recurrent IATA, 49 CFR & IMDG Class",Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Compliance_Intro to Chrome,Compliance_Intro to Chrome Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Intro to Chrome Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
Compliance_Intro to AGG,Compliance_Intro to AGG Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,,9,1,Intro to AGG Class,Bldg_1_Room_102,,,,,USE EVENT SETTING,ILT Content,USE EVENT SETTING,USE EVENT SETTING,1,USE EVENT SETTING,USE EVENT SETTING,,,,1,No Email,1,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,USE EVENT SETTING,User performing the load,false,false,,,,,false,false,false,,USE EVENT SETTING,USE EVENT SETTING,0,0,
