Curriculum ID*,Section Name,Child LO ID,Curriculum Title*,Vendor/Provider*,Provider type*,Active,Default Language,Subject IDs*,Description,Owners*,Created/Modified By,Keywords,Available Languages,Availability to All Users,Availability to Specific Users,Availability to OU‡,Availability OU Type,Register Upon Approval,Pre-Approved,Includes Subordinates,Curriculum Player,Recurrence,Thumbnail,Exclude from Course Recommendations,Training Purpose,Points,Badge,Emails
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process _The 3P Steps (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,848," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process _Who is our Customer? (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_3P Overview (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_3P Overview_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_3P Wrap-up (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_Collaborative Care (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_Collecting Data (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_Examples from Nature (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_Gap Analysis (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
,Test Section for 3P Production Preparation Process (All Modules),Production Preparation Process_Mockups (AGG)_Library,3P Production Preparation Process (All Modules),Online Content,ONLINE,1,1,1274," In this course, which was filmed in front of a live audience, Mike Wroblewski a senior consultant for the Kaizen Institute, discusses 3P (Production Preparation Process) as it relates to the design of a new healthcare facility such as a hospital.",82678,User performing the load,,,,,,,FALSE,FALSE,FALSE,Curriculum Player,0,Portal Default Thumbnail,FALSE,,,,No Email
