OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Avenegers squad,Practice
AGG Waterville,AGG Waterville,1,0,,DefaultAdmin,This Domain is for AGG Waterville Users only,,-1
AGGASK,AGG ASK,1,0,,DefaultAdmin,This Domain is for AGGASK Users only,,-1
AGGFS,AGG FS,1,0,,DefaultAdmin,This Domain is for AGGFS Users only,,-1
AGGGDBR,AGG GDBR,1,0,,DefaultAdmin,This Domain is for AGGGDBR Users only,,-1
AGGIMX,AGG IMX,1,0,,DefaultAdmin,TG IMX Custom Domain,,-1
AGGKY,AGG KY,1,0,,DefaultAdmin,This Domain is for AGGKY Users only,,-1
AGGMINTO,AGG MINTO,1,0,,DefaultAdmin,This Domain is for AGGMINTO Users only,,-1
AGGMO,AGG MO,1,0,,DefaultAdmin,This Domain is for AGGMO Users only,,-1
AGGNA,AGG NA,1,0,,DefaultAdmin,This Domain is for AGGNA Users only,,-1
AGGPECVAL,AGG PECVAL,1,0,,DefaultAdmin,This Domain is for AGGPECVAL Users only,,-1
AGGRMX,AGG RMX,1,0,,DefaultAdmin,This Domain is for AGGRMX Users only,,-1
AGGSIN,AGG South India,1,0,,DefaultAdmin,This Domain is for AGGSIN Users only,,-1
AGGTAPEX,AGG TAPEX,1,0,,DefaultAdmin,This Domain is for AGGTAPEX Users only,,-1
AGGTAPEXWEST,AGG TAPEX WEST,1,0,,DefaultAdmin,This Domain is for AGGTAPEXWEST Users only,,-1
AGGTX,AGG TX,1,0,,DefaultAdmin,This Domain is for AGGTX Users only,,-1
Ghost,Ghost,1,0,,DefaultAdmin,This Domain is for Ghost Users only,,-1
Global,Global,1,0,,Administrator,This is a system generated domain.,,-1
OpenSesame,OpenSesame,1,0,,DefaultAdmin,This Domain is for OpenSesame Users only,,-1
Percipio,Skillsoft - Percipio,1,0,,DefaultAdmin,This Domain is for Percipio Users only,,-1
PESCOM,Skillsoft - Percipio Compliance,1,0,,DefaultAdmin,This Domain is for PESCOM Users only,,-1
SkillsoftOLSA,Skillsoft - OLSA,1,0,,DefaultAdmin,This Domain is for SkillsoftOLSA Users only,,-1
