OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Freeze Group Processing
1Compliance News,Compliance News,1,0,,,Test,0
4_Week_New_Hire_Survey,4 Week New Hire Survey,1,0,,,All new hires (temp and direct),0
503_-_Upgrade_generated_audience,503 - Upgrade generated audience,1,0,,,"This is upgrade generated audience from AGGMissouri Audience(AGGMissouri), All Users (DO NOT ASSIGN)(Global) created in Global",0
8BR_Second_Attempt,8BR Second Attempt,1,0,,,Test,0
Abnormal Handling_ Test Audience,Abnormal Handling_ Test Audience,1,0,,,This Audience have Abnormal Handling_ Test Audience Users only.,0
Actual_vs_Budget,Actual vs Budget,1,0,,,Asst Managers up to VP,0
AGG_ASK_Audience,AGG ASK Audience,1,0,,,Default audience for AGG ASK domain,0
AGG_FS_Audience,AGG FS Audience,1,0,,,Default audience for AGG FS domain,0
AGG_GDBR_Audience,AGG GDBR Audience,1,0,,,Default audience for AGG GDBR domain,0
AGG_IMX_Audience,AGG IMX Audience,1,0,,,Default audience for AGG IMX domain DO NOT DELETE OR OVERRIDE,0
AGG_KY_Audience,AGG KY Audience,1,0,,,Default audience for the AGG KY domain.,0
AGG_KY_Reporting_Audience,AGG KY Reporting Audience,1,0,,,This Audience have AGG KY Reporting Audience Users only.,0
AGG_Kinto_Audience,AGG Kinto Audience,1,0,,,Default audience for AGG Kinto domain,0
AGG_Kinto_Reporting_Audience,AGG Kinto Reporting Audience,1,0,,,Reporting audience for AGG Kinto domain.,0
AGG_MO_Audience,AGG MO Audience,1,0,,,Default audience for AGG MO domain,0
AGG_NA_Audience,AGG NA Audience,1,0,,,Default audience for AGG NA domain,0
AGG_PECVAL_Audience,AGG PECVAL Audience,1,0,,,Default audience for AGG PECVAL domain,0
AGG_RMX_Audience,AGG RMX Audience,1,0,,,Default audience for AGG RMX domain,0
AGG_RMX_Course_Assignment,AGG RMX Course Assignment,1,0,,,AGGRMX Percipio Access audience and course assignment audience.,0
AGG_RMX_Reporting_Audience,AGG RMX Reporting Audience,1,0,,,Audience for AGG RMX Managers.,0
AGG_South_India_Audience,AGG South India Audience,1,0,,,Default audience for AGG South India domain,0
AGG_Spirit_for_New_Hires_(delete),AGG Spirit for New Hires (delete),1,0,,,"For ""Intro to AGG"" ILT trainings (it's included in the curriculum for the ""Intro to AGG"" online version)",0
AGG_TAPEX_Audience,AGG TAPEX Audience,1,0,,,Default audience for AGG TAPEX domain,0
AGG_TAPEX_WEST_Audience,AGG TAPEX WEST Audience,1,0,,,Default audience for AGG TAPEX WEST domain,0
AGG_TX_Audience,AGG TX Audience,1,0,,,Default audience for AGG TX domain,0
AGG_Waterville_Audience,AGG Waterville Audience,1,0,,,Default audience for AGG Waterville domain,0
AGGNA_HR_Reporting,AGGNA HR Reporting,1,0,,,Audience for AGGNA HR leaders.,0
AGGNA_Reporting_Audience,AGGNA Reporting Audience,1,0,,,Reporting audience for the AGGNA domain.,0
AGGNAI_-_HR_Manager_Report,AGGNAI - HR Manager Report,1,0,,,This Audience have AGGNAI - HR Manager Report Users only.,0
Aida Test Audience,Aida's Test Audience,1,0,,,Audience Test for Aida to Practice On.,0
ALL_LMS_COORDINATORS,All LMS Coordinators,1,0,,,Audience for all LMS coordinators to manage coordinator specific access to library materials.,0
All_Managers_and_Above,All Managers and Above,1,0,,,This Audience have All Managers and Above Users only.,0
ALL_MANAGERS_IMX,ALL MANAGERS (IMX),1,0,,,An audience containing ALL MANAGERS for Library Visibility. DO NOT ASSIGN TO ACTIVITIES. REGISTRATION AUDIENCE ONLY.,0
ALL_MANAGERS_AGGFS,ALL MANAGERS (AGGFS),1,0,,,An audience containing ALL MANAGERS for Library Visibility. DO NOT ASSIGN TO ACTIVITIES. REGISTRATION AUDIENCE ONLY.,0
ALL_MANAGERS_AGGMO,ALL MANAGERS (AGGMO),1,0,,,An audience containing ALL MANAGERS for Library Visibility. DO NOT ASSIGN TO ACTIVITIES. REGISTRATION AUDIENCE ONLY.,0
ALL_Supervisor_&_Above,ALL Supervisor & Above,1,0,,,For getting the number of supervisor & above,0
all_users,All Users (DO NOT ASSIGN),1,0,,,ONLY FOR REGISTRATION AND LIBRARY VISIBILITY. DO NOT ASSIGN.,0
ASK - First Aid,First Aid Certification,1,0,,,Members of the First Aid Team,0
ASK - OJT Members,OJT Members (ASK),1,0,,,This Audience have OJT Members (ASK) Users only.,0
ASK - Statement of Confidentiality,Statement of Confidentiality,1,0,,,New salaried employees,0
ASK - Supervisor Cert Guidelines,SCP Guidelines (ASK),1,0,,,Participants of the Supervisor Certification Program,0
ask_reporting_audience,ASK Reporting Audience,1,0,,,Reporting audience for the ASK domain.,0
Battery_Charger_Training,Battery Charger Training,1,0,,,Battery charger training for shipping and receiving team members.,0
Box_Truck_Safety_Instruction,Box Truck Safety Instruction,1,0,,,box truck operators____ Planning & Receiving Dept,0
Bulk_Acid_Unloading,Bulk Acid Unloading,1,0,,,Dept. 6218,0
Chrome_Dept._6218_Curriculum,Chrome Dept. 6218 Curriculum,1,0,,,Dept. 6218,0
CIS_Reporting_Audience,CIS Reporting Audience,1,0,,,Audience for access to CIS reports.,0
Compliance_Corner_-_Test_File_Marcus,Compliance Corner - Test File Marcus,1,0,,,Compliance Corner - Test File Marcus,0
compliance_registration_audience,Compliance Course Registration Audience,1,0,,,An audience for compliance and other courses that need to be shared among domains.,0
Contabilidad_Lean,Contabilidad Lean,1,0,,,All Accounting,0
Container_Management,Container Management,1,0,,,Paint__Plating__Injection__Maintenance__Machine and tools__,0
Container_Management_(EWI_4.6.40),Container Management (EWI 4.6.40),1,0,,,Dept. 4602____ Dept. 6225____ Dept. 4634____ Dept. 4634X____ Dept. 4521X____ Dept. 4665____ Dept. 6616M,0
Critical Safety Parts (SV & TL)_2022,Critical Safety Parts [SV & TL],1,0,,,Audience for Supervisors and Team Leaders for Critical Safety Parts 2022,0
Critical Safety Parts [Op and Maintenance],Critical Safety Parts [Op and Maintenance],1,0,,,This Audience have Critical Safety Parts [Op and Maintenance] Users only.,0
Critical Safety Parts [QC & PE],Critical Safety Parts [QC & PE],1,0,,,Audience for Critical Safety Parts [QC & PE],0
CSP_OP&MAINT_2022,CSP_OP&MAINT_2022,1,0,,,Audience for Critical Safety Parts Training for Operators and Maintenance. (AGGJ 2022),0
CSP_Survey_Reconciliation,Critical Safety Parts,1,0,,,Audience to ensure all that have previously taken the Critical Safety Parts training can add input to the survey.,0
Customer_Critical_Characteristics_Training_I/E,Customer Critical Characteristics Training I/E,1,0,,,"Audience for all I/E division members at AGGMO and BTX, except IE Shipping 5019.",0
Customer_Critical_Characteristics_Training_SS,Customer Critical Characteristics Training SS,1,0,,,Audience for all SS division members at AGGMO and BTX.,0
DELETE_TEST FOR PHPR,DELETE_TEST FOR PHPR,1,0,,,This Audience have DELETE_TEST FOR PHPR Users only.,0
Document_Control_Procedure,Document Control Procedure,1,0,,,New Engineers,0
