OU ID*,OU Name*,Active,Allow Reconciliation,Parent ID,Owner ID,Description,Req- Person ID Number,Critical Position,Plan Owner OU ID
100258 (old),TEMP,1,0,,DefaultAdmin,,,,
110021,Production Team Member,1,0,,DefaultAdmin,This Job is for Production Team Member Users only,,,
110027,Supervisor(delete),1,0,,DefaultAdmin,,,,
110074,Direct Production Team Member,1,0,,DefaultAdmin,This Job is for Direct Production Team Member Users only,,,
110076,Direct Quality Control Team Me,1,0,,DefaultAdmin,This Job is for Direct Quality Control Team Me Users only,,,
110077,Direct Team Leader,1,0,,DefaultAdmin,This Job is for Direct Team Leader Users only,,,
110097,Quality Engineer II,1,0,,DefaultAdmin,This Job is for Quality Engineer II Users only,,,
110133,"Shift Leader IV, MTM",1,0,,DefaultAdmin,"This Job is for Shift Leader IV, MTM Users only",,,
330062,TPS Technician,1,0,,DefaultAdmin,,,,
440041,Maintenance Team Member,1,0,,DefaultAdmin,,,,
550016,Engineering Technician,1,0,,DefaultAdmin,This Job is for Engineering Technician Users only,,,
550066,Supervisor(delete),1,0,,DefaultAdmin,,,,
660001,Clerk,1,0,,DefaultAdmin,This Job is for Clerk Users only,,,
660003,Shipping Specialist,1,0,,DefaultAdmin,,,,
660004,Packaging Specialist,1,0,,DefaultAdmin,,,,
660009,Administrator,1,0,,DefaultAdmin,,,,
660012,"Administrator, Accounting",1,0,,DefaultAdmin,,,,
660016,Help Desk Operator,1,0,,DefaultAdmin,,,,
660017,Training Specialist,1,0,,DefaultAdmin,,,,
660019,Quality Engineering Technician,1,0,,DefaultAdmin,,,,
660020,Quality Specialist,1,0,,DefaultAdmin,,,,
660021,Translator,1,0,,DefaultAdmin,,,,
660026,Supv Maintenance(delete),1,0,,DefaultAdmin,,,,
660027,Supervisor,1,0,,DefaultAdmin,,,,
660035,Public Relations Spe,1,0,,DefaultAdmin,,,,
660036,Human Resources Generalist,1,0,,DefaultAdmin,,,,
660039,Project Coordinator,1,0,,DefaultAdmin,,,,
660041,Cost Accountant,1,0,,DefaultAdmin,,,,
660042,General Accountant,1,0,,DefaultAdmin,This Job is for General Accountant Users only,,,
660053,Quality Engineer I,1,0,,DefaultAdmin,,,,
660055,Manufacturing Engineer II,1,0,,DefaultAdmin,,,,
660057,Quality Engineer II,1,0,,DefaultAdmin,,,,
660061,Customs Specialists,1,0,,DefaultAdmin,,,,
660062,"Occupational Health Nurse, SR",1,0,,DefaultAdmin,,,,
660076,Environmental Specialist,1,0,,DefaultAdmin,,,,
660088,General Manager,1,0,,DefaultAdmin,,,,
660093,"Cost Accountant, SR",1,0,,DefaultAdmin,,,,
660094,Inventory Accountant,1,0,,DefaultAdmin,This Job is for Inventory Accountant Users only,,,
660095,Ast GM Quality,1,0,,DefaultAdmin,,,,
660096,"General Manager, Asst",1,0,,DefaultAdmin,,,,
660104,Vice President,1,0,,DefaultAdmin,,,,
660107,Production Team Member,1,0,,DefaultAdmin,,,,
660108,Lead Team Member,1,0,,DefaultAdmin,,,,
660109,Mold Set-up Team Member,1,0,,DefaultAdmin,,,,
660110,Maintenance Team Member I,1,0,,DefaultAdmin,,,,
660111,Maintenance Team Member II,1,0,,DefaultAdmin,,,,
660121,Quality Engineering Tech II,1,0,,DefaultAdmin,,,,
660122,Ocup Health Speciali,1,0,,DefaultAdmin,This Job is for Ocup Health Speciali Users only,,,
660126,Intern,1,0,,DefaultAdmin,,,,
660127,Supervisor II,1,0,,DefaultAdmin,,,,
660128,Packaging Engineer I,1,0,,DefaultAdmin,This Job is for Packaging Engineer I Users only,,,
660129,Project Engineer I,1,0,,DefaultAdmin,This Job is for Project Engineer I Users only,,,
660131,"Apprentice, MTM",1,0,,DefaultAdmin,"This Job is for Apprentice, MTM Users only",,,
660132,Human Resources Generalist SR.,1,0,,DefaultAdmin,,,,
660135,Machine Engineer I,1,0,,DefaultAdmin,,,,
