User ID*,Session ID*,Transcript Status,Score,Pass/Fail,Request Date/Time,Registration Date/Time,Completion Date/Time,Due Date/Time,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Comments*,Archived
1089,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 16:22:09.000,12/13/2018 16:22:09.000,2018-12-01 12:00:00,,,,,,,,0
1094,Leadership_Emotional Intelligence Training-0002,,,,09/16/2019 14:10:53.000,09/16/2019 14:10:53.000,10/24/2019 14:55:00.000,,,,,,,,0
1120,Computer & Software_Microsoft Outlook Class,,,,2015-03-12 08:00:00,2015-03-12 08:00:00,2015-03-12 00:00:00,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
1129,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,2017-03-05 00:00:00,,,,,,,,0
1156,Core_ Core Operator Training (AGGU) Class,,,,2015-09-10 08:00:00,2015-09-10 08:00:00,2015-09-10 00:00:00,,,,,,,,0
1166,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 14:48:56.000,12/13/2018 14:48:56.000,2018-11-01 13:00:00,,,,,,,,0
1214,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:11:16.000,12/13/2018 15:11:16.000,2018-11-01 14:30:00,,,,,,,,0
1214,Leadership_Emotional Intelligence Training-0002,,,,2019-12-09 22:20:35,2019-12-09 22:20:35,10/24/2019 14:55:00.000,,,,,,,,0
1246,Computer Skills_Excel Basic Class,,,,04/24/2017 08:00:00.000,04/24/2017 08:00:00.000,04/28/2017 00:00:00.000,,,,,,,,0
1246,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
1321,Computer Skills_Excel Intermediate Class,,,,2017-10-04 08:00:00,2017-10-04 08:00:00,04/14/2017 00:00:00.000,,,,,,,,0
1321,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:23:27.000,12/13/2018 15:23:27.000,2018-11-01 21:00:00,,,,,,,,0
1321,Leadership_Emotional Intelligence Training-0001,,,,09/13/2019 21:54:31.000,09/13/2019 21:54:31.000,10/24/2019 14:55:00.000,,,,,,,,0
1322,Computer Skills_Excel Basic Class,,,,07/24/2017 08:00:00.000,07/24/2017 08:00:00.000,07/28/2017 00:00:00.000,,,,,,,,0
1322,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
1378,Computer Skills_Excel Basic Class,,,,04/30/2017 08:00:00.000,04/30/2017 08:00:00.000,04/30/2017 00:00:00.000,,,,,,,,0
1397,Core_ Core Operator Training (AGGU) Class,,,,08/27/2015 08:00:00.000,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,,,,,0
1437,Leadership_Emotional Intelligence Training-0001,,,,09/17/2019 19:24:09.000,09/17/2019 19:24:09.000,10/24/2019 14:55:00.000,,,,,,,,0
1467,Computer & Software_Excel Intermediate-0003,,,,11/16/2018 20:24:56.000,11/16/2018 20:24:56.000,02/15/2019 18:55:00.000,,,,,,,,0
1467,Computer_FileHold Class,,,,2017-03-05 08:00:00,2017-03-05 08:00:00,2017-03-05 00:00:00,,,,,,,,0
1500,Core_ Core Operator Training (AGGU) Class,,,,2016-08-06 08:00:00,2016-08-06 08:00:00,2016-09-06 00:00:00,,,,,,,,0
1520,QR code ILTcourse-0001,,,,01/22/2024 22:51:08.000,01/22/2024 22:51:08.000,01/22/2024 22:53:23.000,,,,,,,,0
1521,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:20:56.000,12/13/2018 15:20:56.000,2018-11-01 21:00:00,,,,,,,,0
1521,Safety_Token Yochi Class,,,,2017-11-10 08:00:00,2017-11-10 08:00:00,2017-11-10 00:00:00,,,,,,,,0
1521,Technical_Fanuc Level I (Ranken) Class,,,,12/13/2018 20:22:56.000,12/13/2018 20:22:56.000,2018-03-05 22:00:00,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
1527,Computer Skills_Excel Basic Class,,,,03/27/2017 08:00:00.000,03/27/2017 08:00:00.000,2017-03-04 00:00:00,,,,,,,,0
1529,Core_ Core Operator Training (AGGU) Class,,,,07/22/2015 08:00:00.000,07/22/2015 08:00:00.000,07/22/2015 00:00:00.000,,,,,,,,0
1622,Computer_GDP (eTime dept tracking) Class,,,,12/13/2018 15:23:27.000,12/13/2018 15:23:27.000,2018-11-01 21:00:00,,,,,,,,0
1622,Leadership_Emotional Intelligence Training-0001,,,,09/20/2019 00:29:38.000,09/20/2019 00:29:38.000,10/24/2019 14:55:00.000,,,,,,,,0
1634,Leadership_Emotional Intelligence Training-0002,,,,2019-10-10 15:09:35,2019-10-10 15:09:35,10/24/2019 14:55:00.000,,,,,,,,0
1634,Safety_Token Yochi Class,,,,07/13/2017 08:00:00.000,07/13/2017 08:00:00.000,07/13/2017 00:00:00.000,,,,,,,,0
1635,Safety_Token Yochi Class,,,,02/23/2017 08:00:00.000,02/23/2017 08:00:00.000,02/23/2017 00:00:00.000,,,,,,,,0
1657,Computer & Software_JDE Class,,,,09/19/2017 08:00:00.000,09/19/2017 08:00:00.000,09/19/2017 00:00:00.000,,,,,,,,0
1657,Computer & Software_Microsoft Outlook Class,,,,09/15/2017 08:00:00.000,09/15/2017 08:00:00.000,09/15/2017 00:00:00.000,,,,,,,This is done by admin due to some Technical Issues or Glitches,0
