ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
1.4GB,1.4GB MP4 UPLOAD TEST,Document,Online Content,1,,,,,Cisco WebEx,https://google.com
Any,NewActivity__20231129,Document,Online Content,1,,,,,Customer Service,https://google.com
Compliance_ Bribery Guidelines,Bribery Guidelines,Document,Online Content,1,en-us,900,," Guidelines for maintaining a transparent, healthy, and fair relationship with the government, public offices, and political parties (No Recertification) This training complies with JSOX standards.",Data Analytics,https://google.com
Compliance_Acuerdo de Conducta Comercial (Business Conduct Agreement),Acuerdo de Conducta Comercial,Document,Online Content,1,en-us,900,,"Acuerdo de que cumplirá con la ética empresarial, las políticas y los procedimientos de AGG.",Cloud Services,https://google.com
Compliance_Antitrust Compliance Oath,Antitrust Compliance Oath,Document,Online Content,1,en-us,300,, Acknowledgement to comply with Toyoda Gosei Group Charter for Business Ethics and Business Conduct Agreement (1-year Recertification) This training complies with JSOX standards.,Collaboration,https://google.com
Compliance_Antitrust Compliance Oath (Spanish),Antitrust Compliance Oath (Spanish),Document,Online Content,1,en-us,300,,Acknowledgement to comply with Toyoda Gosei Group Charter for Business Ethics and Business Conduct Agreement (1-year Recertification) This training complies with JSOX standards.,Skills for Effective Collaboration,https://google.com
Compliance_Bulk Acid Delivery & Unloading (EWI 4.7.65),Bulk Acid Delivery & Unloading (EWI 4.7.65),Document,Online Content,1,en-us,900,," Work Instruction for the delivery and unloading of hydrochloric / sulfuric acid (1-year Recertification) This training complies with MDNR's Risk Management Plan. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Communications Skills,https://google.com
Compliance_Business Conduct Agreement,Business Conduct Agreement,Document,Online Content,1,,300,,"Agreement that you will comply with AGG's business ethics, policies, and procedures.",Business Operations,https://google.com
Compliance_Chrome PPE Procedure,Chrome PPE Procedure,Document,Online Content,1,en-us,900,,"Procedure for wearing proper personal protective equipment (PPE) in Chrome Dept. 6218, properly maintaining your PPE, and disposing of worn out or damaged PPE (No Recertification) -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Communication Essentials,https://google.com
Compliance_Container Management (EWI 4.6.40),Container Management (EWI 4.6.40),Document,Online Content,1,en-us,900,,Container Management Work Instruction (No Recertification) This training complies with ISO standard 1910.1200.,Cisco,https://google.com
"Compliance_Contractor, Vendor, Visitor Work Instruction","Contractor, Vendor, Visitor Work Instruction",Document,Online Content,1,en-us,900,," Procedure for communicating safety, security and confidentiality to Contractors, Vendors and Visitors (1-year Recertification) This training complies with ISO standards.",Browsers & Operating Systems,https://google.com
Compliance_Declaración de confidencialidad (Statement of Confidentiality),Declaración de confidencialidad,Document,Online Content,1,,600,,Resumen de las reglas y políticas de confidencialidad que debe seguir en todo momento (Sin Recertificación).,Cloud Career Journey,https://google.com
Compliance_Declaración de confidencialidad (Statement of Confidentiality),Declaración de confidencialidad,Document,Online Content,1,en-us,,,,Cloud Career Journey,https://google.com
Compliance_Emergency Response Notification Procedure (ERD 4.7.01),Emergency Response Notification Procedure (ERD 4.7.01),Document,Online Content,1,en-us,900,,Procedure for notifying Emergency Coordinators in the event of a AGGMO emergency (No Recertification) This training complies with OSHA standard 1910.38.,Business Skills,https://google.com
Compliance_Employee FMLA Rights,Employee FMLA Rights,Document,Online Content,0,en-us,900,,"Know your rights under the Family Medical Leave Act (FMLA). By clicking 'OK' you verify that you have received and understand your Employee FMLA Rights, and that if you have any further questions regarding your rights you may contact AGG Human Resources.",Cal/OSHA,https://google.com
Compliance_Employee FMLA Rights,Employee FMLA Rights,Document,Online Content,1,en-us,900,,"Know your rights under the Family Medical Leave Act (FMLA). By clicking 'OK' you verify that you have received and understand your Employee FMLA Rights, and that if you have any further questions regarding your rights you may contact AGG Human Resources.",Cal/OSHA,https://google.com
Compliance_FORKLIFT Skills Test (MINTO),Forklift Operating Skills Test (Minto),Document,Online Content,1,,1800,,Contact an instructor to schedule a time to complete your Operating Skills Test. The instructor will send a copy of the skillst test to your local AGGU representative for assessment in the LMS.,Certifications,https://google.com
Compliance_GuÃ­as a nivel mundial para evitar el soborno (Bribery Guidelines),GuÃ­as a nivel mundial para evitar el soborno,Document,Online Content,1,en-us,,,,Choose a Learning Journey that Fits my Goal,https://google.com
Compliance_Guías a nivel mundial para evitar el soborno (Bribery Guidelines),Guías a nivel mundial para evitar el soborno,Document,Online Content,1,,900,,"Lineamientos para mantener una relación transparente, saludable y justa con el gobierno, las oficinas públicas y los partidos políticos (Sin Recertificación) Esta capacitación cumple con los estándares JSOX.",Business,https://google.com
Compliance_Hazardous Waste Labeling (EWI 4.6.31),"Hazardous Waste Labeling, Transfer and Storage (EWI 4.6.31)",Document,Online Content,1,en-us,900,,"Work Instruction for proper identification, labeling, and storage of hazardous chemicals (1-year Recertification) This training complies with ISO standard 40 CSR 25-5-262. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Cisco Teams,https://google.com
Compliance_Hazardous Waste Storage (EWI 4.6.32),Hazardous Waste Storage Tank (EWI 4.6.32),Document,Online Content,1,en-us,900,,"Procedure for proper removal of any waste from hazardous waste storage tank secondary containment (2-year Recertification & annual SOS) This training complies with ISO standard 40 CSR 25-5-262. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Customer Service: Core Concepts & Methods,https://google.com
Compliance_Hepatitis B Vaccination Awareness for First Aid,Hepatitis B Vaccination Awareness (First Aid Requirement),Document,Online Content,1,,60,,Know who to contact if you wish to receive the Hepatitis B vaccination. This offer complies with OSHA guidelines. Annual review of this document is required.,Managing a Crisis,https://google.com
Compliance_Legal Compliance (2017),Legal Compliance (2017),Document,Online Content,0,,1800,," Know your role and responsibilities, as a leader at Toyoda Gosei, to uphold rules and policies related to corporate and social responsibility, compliance, and third-party involvement (Annual Recertification) This training complies with AGGNA standards.",Customer Success,https://google.com
Compliance_Legal Compliance (2018),Legal Compliance (2018),Document,Online Content,0,,,," Know your role and responsibilities, as a leader at Toyoda Gosei, to uphold rules and policies related to corporate and social responsibility, compliance, and third-party involvement (Annual Recertification) This training complies with AGGNA standards.",Core Knowledge,https://google.com
Compliance_Material Handling,Material Handling (Hazmat) Procedure,Document,Online Content,1,en-us,900,, Rules for receiving and handling hazardous materials (1-year Recertification) This training complies with EPA standard CFR 172.700.,Collaboration Tools,https://google.com
Compliance_Orientation eSign,Orientation eSign,Document,Online Content,1,en-us,300,,"Verify that you have attended new-hire orientation, have been informed of the Company's policies and procedures, and provide your electronic signature.",Cloud Security,https://google.com
Compliance_Orientation Policies & Procedures,Orientation Policies & Procedures,Document,Online Content,1,,900,,"This document provides a link to the AGG Intranet where you can access AGG Policies and Procedures. HR Policies & Procedures and general safety guidelines will be covered in Orientation. Safety Policies & Procedures will be assigned to you based on your job title, department, and/or specific job responsibilities.",Data/ML Developer to AI Developer,https://google.com
Compliance_Orientation_Attendance Confirmation,Orientation Attendance Confirmation (E-Sign),Document,Online Content,1,,300,,"Verify that you have attended new-hire orientation, have been informed of the Company's policies and procedures, and provide your electronic signature.",Collections,https://google.com
Compliance_Orientation_Photo Release Waiver,Photo Release Waiver (E-Sign),Document,Online Content,1,,300,,"This document verifies that you agree to willingly provide photographs, video, audio, written documents, quotes, images, etc. to AGG for their use.",Cloud Computing,https://google.com
Compliance_Photo Release Waiver,Orientation Photo Release Waiver,Document,Online Content,1,en-us,300,,"This document verifies that you agree to willingly provide photographs, video, audio, written documents, quotes, images, etc. to AGG for their use.",Cybersecurity Career Journey,https://google.com
Compliance_Process Implementation & Changes (ERD 4.2.01),Process Implementation & Changes (ERD 4.2.01),Document,Online Content,1,en-us,900,,Environmental protection guidelines for permits and changes made to regulated processes (No recertification) This training complies with ISO standard ISO 14001.,Computer Skills,https://google.com
Compliance_Production Mold Change Safety Procedure,Production Mold Change Safety Procedure,Document,Online Content,0,,900,,Safety instructions for mold changes and mold cleaning (1-year Recertification),Business Continuity,https://google.com
Compliance_Production Mold Change Safety Procedure 2,Production Mold Change Safety Procedure,Document,Online Content,1,en-us,600,,Safety instructions for mold changes and mold cleaning (No Recertification) This training complies with safety standards.,Business Operations,https://google.com
Compliance_Regulated Medical Waste Packaging,Regulated Medical Waste Packaging,Document,Online Content,1,en-us,600,, Properly dispose of medical waste (1-yr Recertification). This training complies with DOT standard 49 CFR 171-180.,Cloud,https://google.com
Compliance_Scrubber Evacuation & Chrome PPE (Dept 4627),Scrubber Evacuation & PPE for Chrome Dept 4627,Document,Online Content,0,,900,,Safe evacuation plan for Department 6218 (No Recertification),Cloud Security,https://google.com
Compliance_Scrubber Evacuation Plan (Dept. 6218),Scrubber Evacuation Plan (Dept. 6218),Document,Online Content,1,en-us,900,,"Know what to do and where to go if the Chrome Scrubber system goes down (No Recertification) This training complies with OSHA standard 1910.38. -- Note: when document appears, move the mouse toward the top of the screen, then click the plus sign repeatedly to enlarge the image",Client & Server Administration,https://google.com
Compliance_Statement of Confidentiality,Statement of Confidentiality,Document,Online Content,1,en-us,300,,Summary of confidentiality rules and policies which you must follow at all times (No Recertification). This training complies with JSOX requirements.,Codecademy Subjects,https://google.com
Compliance_Static Grounding Standards (2),Paint Static Grounding Training,Document,Online Content,1,en-us,900,,Prevent fires from static electricity by properly grounding metal parts (1-year Recertification). This training complies with OSHA standard NFPA 77.,Core,https://google.com
Compliance_Static Grounding Standards (6 month recert),Paint Static Grounding Training,Document,Online Content,1,,900,,Prevent fires from static electricity by properly grounding metal parts (6-month Recertification). This training complies with OSHA standard NFPA 77.,Crisis Management,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGFS),Storm Water Management & Spill Prevention (AGGFS),Document,Online Content,1,,900,,AGGFS control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification).,CompTIA,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGKY),Storm Water Management & Spill Prevention (AGGKY),Document,Online Content,1,,900,,AGGKY control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification).,Concur,https://google.com
Compliance_Storm Water Management & Spill Prevention (AGGMO),Storm Water Management & Spill Prevention (AGGMO),Document,Online Content,1,en-us,900,,AGG Missouri control and countermeasures plan for preventing storm water pollution and spills (1-year Recertification) This training complies with MDNR standard 10 CSR-20.6.200 / 40 CFR 112.7(f); IDEM standard 327 IAC 15-6; MDEQ standard 40 CFR 112.7(f).,C#,https://google.com
