ILTCourseCode,ClassCode,ClassStartDate,ClassEndDate,TimeZone,ClassName,Instructor,Provider,Minimum,Maximum,EstimatedCredits,Contact,Waitlist,Location
11th Annual Steel Markets North America Conference (vendor),11th Annual Steel Markets North America Conference (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,11th Annual Steel Markets North America Conference Class,,ILT Content,,,,,1,Bldg_1_Room_102
2-Day APQP J PPAP 4th Edition Training (vendor),2-Day APQP J PPAP 4th Edition Training (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,2-Day APQP J PPAP 4th Edition Training Class,,ILT Content,,,,,1,Bldg_1_Room_102
"2-Day FMEA, SPC, J MSA Training (vendor)","2-Day FMEA, SPC, J MSA Training (vendor) Class",01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,"2-Day FMEA, SPC, J MSA Training Class",,ILT Content,,,,,1,Bldg_1_Room_102
3D Vision Smart Cameras - COGNEX (vendor),3D Vision Smart Cameras - COGNEX (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,3D Vision Smart Cameras - COGNEX Class,,ILT Content,,,,,1,Bldg_1_Room_102
7 Habits (MAC),7 Habits (MAC) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,The 7 Habits of Highly Effective People Class,,ILT Content,,,,,1,Bldg_1_Room_102
Accounting_Inventory,Accounting_Inventory Class (AGGU),01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Inventory Count & Audit Class,,ILT Content,,,,,1,Bldg_1_Room_102
Adaptive Leadership (MAC),Adaptive Leadership (MAC) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Adaptive Leadership Workshop Class,,ILT Content,,,,,1,Bldg_1_Room_102
Auditor Training (vendor),Auditor Training (vendor) Class,03/27/2017 12:00:00.000,03/29/2017 21:00:00.000,America/New_York,Transitioning to IATF 16949 Auditor Training 24-Hr Cert Class,,ILT Content,,,,,1,Bldg_1_Room_102
BIOL-101-B1 (College Transcript),BIOL-101-B1 (College Transcript) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,General Biology Class,,ILT Content,,,,,1,Bldg_1_Room_102
CAD110 (vendor),CAD110 (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,CAD110 SolidWorks Essentials Class,,ILT Content,,,,,1,Bldg_1_Room_102
CAD110 Test (vendor),CAD110 Test (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,CAD110 SOLIDWORKS Essentials Competency Test Class,,ILT Content,,,,,1,Bldg_1_Room_102
CAD215 SOLIDWORKS Assembly Molding (vendor),CAD215 SOLIDWORKS Assembly Molding (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,CAD215 SOLIDWORKS Assembly Molding Class,,ILT Content,,,,,1,Bldg_1_Room_102
Certified Die Casting Technician (vendor),Certified Die Casting Technician (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Certified Die Casting Technician Class,,ILT Content,,,,,1,Bldg_1_Room_102
Cognex In-Sight (vendor),Cognex In-Sight (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Cognex In-Sight EasyBuilder & Spreadsheet Standard Class,,ILT Content,,,,,1,Bldg_1_Room_102
Collaborative Robotics - Meet BAXTER - RE - THINK (vendor),Collaborative Robotics - Meet BAXTER - RE - THINK (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Collaborative Robotics - Meet BAXTER - RE - THINK ROBOTICS Class,,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_Fire Extinguisher (Cintas),Compliance_Fire Extinguisher (Cintas) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Live Fire Extinguisher Training (Cintas) Class,,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_IATA Dangerous Goods Training,Compliance_IATA Dangerous Goods Training Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,IATA Dangerous Goods Training Class,,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_IMDG,Compliance_IMDG Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,IMDG Dangerous Goods Training Class,,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_Initial/Recurrent (vendor),Compliance_Initial/Recurrent (vendor) Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,"Initial/Recurrent IATA, 49 CFR & IMDG Class",,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_Intro to Chrome,Compliance_Intro to Chrome Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Intro to Chrome Class,,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_Intro to AGG,Compliance_Intro to AGG Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Intro to AGG Class,,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_Intro to AGG Benefits,Compliance_Intro to AGG Benefits Class,01/31/2008 00:00:00.000,01/31/2008 01:00:00.000,America/New_York,Intro to AGG Benefits Class,,ILT Content,,,,,1,Bldg_1_Room_102
Compliance_Legal Compliance (2020),Compliance_Legal Compliance (2020)-0001,12/02/2020 21:00:00,12/02/2020 22:30:00,America/Chicago,Offering of Legal Compliance Training (2020),NA900569,ILT Content,0,38,5400,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_Legal Compliance (2020),Compliance_Legal Compliance (2020)-0002,02/13/2020 12:30:00.000,02/13/2020 14:00:00.000,America/Chicago,Offering of Legal Compliance Training (2020),NA900569,ILT Content,0,35,5400,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_Legal Compliance (2020),Compliance_Legal Compliance (2020)-0003,02/13/2020 16:00:00.000,02/13/2020 17:30:00.000,America/Chicago,Offering of Legal Compliance Training (2020),NA900569,ILT Content,0,35,5400,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_Legal Compliance (2020),Compliance_Legal Compliance (2020)-0004,02/13/2020 19:30:00.000,02/13/2020 21:00:00.000,America/Chicago,Offering of Legal Compliance Training (2020),NA900569,ILT Content,0,35,5400,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0001,02/26/2021 13:00:00.000,02/26/2021 14:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
