Audience Code,Audience Name,Audience Active,Audience Description
1Compliance News,Compliance News,1,Test
4_Week_New_Hire_Survey,4 Week New Hire Survey,1,All new hires (temp and direct)
503_-_Upgrade_generated_audience,503 - Upgrade generated audience,1,"This is upgrade generated audience from AGGMissouri Audience(AGGMissouri), All Users (DO NOT ASSIGN)(Global) created in Global"
8BR_Second_Attempt,8BR Second Attempt,1,Test
Abnormal Handling_ Test Audience,Abnormal Handling_ Test Audience,1,This Audience have Abnormal Handling_ Test Audience Users only.
Actual_vs_Budget,Actual vs Budget,1,Asst Managers up to VP
AGG_ASK_Audience,AGG ASK Audience,1,Default audience for AGG ASK domain
AGG_FS_Audience,AGG FS Audience,1,Default audience for AGG FS domain
AGG_GDBR_Audience,AGG GDBR Audience,1,Default audience for AGG GDBR domain
AGG_IMX_Audience,AGG IMX Audience,1,Default audience for AGG IMX domain DO NOT DELETE OR OVERRIDE
AGG_KY_Audience,AGG KY Audience,1,Default audience for the AGG KY domain.
AGG_KY_Reporting_Audience,AGG KY Reporting Audience,1,This Audience have AGG KY Reporting Audience Users only.
AGG_Kinto_Audience,AGG Kinto Audience,1,Default audience for AGG Kinto domain
AGG_Kinto_Reporting_Audience,AGG Kinto Reporting Audience,1,Reporting audience for AGG Kinto domain.
AGG_MO_Audience,AGG MO Audience,1,Default audience for AGG MO domain
AGG_NA_Audience,AGG NA Audience,1,Default audience for AGG NA domain
AGG_PECVAL_Audience,AGG PECVAL Audience,1,Default audience for AGG PECVAL domain
AGG_RMX_Audience,AGG RMX Audience,1,Default audience for AGG RMX domain
AGG_RMX_Course_Assignment,AGG RMX Course Assignment,1,AGGRMX Percipio Access audience and course assignment audience.
AGG_RMX_Reporting_Audience,AGG RMX Reporting Audience,1,Audience for AGG RMX Managers.
AGG_South_India_Audience,AGG South India Audience,1,Default audience for AGG South India domain
AGG_Spirit_for_New_Hires_(delete),AGG Spirit for New Hires (delete),1,"For ""Intro to AGG"" ILT trainings (it's included in the curriculum for the ""Intro to AGG"" online version)"
AGG_TAPEX_Audience,AGG TAPEX Audience,1,Default audience for AGG TAPEX domain
AGG_TAPEX_WEST_Audience,AGG TAPEX WEST Audience,1,Default audience for AGG TAPEX WEST domain
AGG_TX_Audience,AGG TX Audience,1,Default audience for AGG TX domain
AGG_Waterville_Audience,AGG Waterville Audience,1,Default audience for AGG Waterville domain
AGGNA_HR_Reporting,AGGNA HR Reporting,1,Audience for AGGNA HR leaders.
AGGNA_Reporting_Audience,AGGNA Reporting Audience,1,Reporting audience for the AGGNA domain.
AGGNAI_-_HR_Manager_Report,AGGNAI - HR Manager Report,1,This Audience have AGGNAI - HR Manager Report Users only.
Aida Test Audience,Aida's Test Audience,1,Audience Test for Aida to Practice On.
ALL_LMS_COORDINATORS,All LMS Coordinators,1,Audience for all LMS coordinators to manage coordinator specific access to library materials.
All_Managers_and_Above,All Managers and Above,1,This Audience have All Managers and Above Users only.
ALL_MANAGERS_IMX,ALL MANAGERS (IMX),1,An audience containing ALL MANAGERS for Library Visibility. DO NOT ASSIGN TO ACTIVITIES. REGISTRATION AUDIENCE ONLY.
ALL_MANAGERS_AGGFS,ALL MANAGERS (AGGFS),1,An audience containing ALL MANAGERS for Library Visibility. DO NOT ASSIGN TO ACTIVITIES. REGISTRATION AUDIENCE ONLY.
ALL_MANAGERS_AGGMO,ALL MANAGERS (AGGMO),1,An audience containing ALL MANAGERS for Library Visibility. DO NOT ASSIGN TO ACTIVITIES. REGISTRATION AUDIENCE ONLY.
ALL_Supervisor_&_Above,ALL Supervisor & Above,1,For getting the number of supervisor & above
all_users,All Users (DO NOT ASSIGN),1,ONLY FOR REGISTRATION AND LIBRARY VISIBILITY. DO NOT ASSIGN.
ASK - First Aid,First Aid Certification,1,Members of the First Aid Team
ASK - OJT Members,OJT Members (ASK),1,This Audience have OJT Members (ASK) Users only.
ASK - Statement of Confidentiality,Statement of Confidentiality,1,New salaried employees
ASK - Supervisor Cert Guidelines,SCP Guidelines (ASK),1,Participants of the Supervisor Certification Program
ask_reporting_audience,ASK Reporting Audience,1,Reporting audience for the ASK domain.
Battery_Charger_Training,Battery Charger Training,1,Battery charger training for shipping and receiving team members.
Box_Truck_Safety_Instruction,Box Truck Safety Instruction,1,box truck operators____ Planning & Receiving Dept
Bulk_Acid_Unloading,Bulk Acid Unloading,1,Dept. 6218
Chrome_Dept._6218_Curriculum,Chrome Dept. 6218 Curriculum,1,Dept. 6218
CIS_Reporting_Audience,CIS Reporting Audience,1,Audience for access to CIS reports.
Compliance_Corner_-_Test_File_Marcus,Compliance Corner - Test File Marcus,1,Compliance Corner - Test File Marcus
compliance_registration_audience,Compliance Course Registration Audience,1,An audience for compliance and other courses that need to be shared among domains.
Contabilidad_Lean,Contabilidad Lean,1,All Accounting
Container_Management,Container Management,1,Paint__Plating__Injection__Maintenance__Machine and tools__
Container_Management_(EWI_4.6.40),Container Management (EWI 4.6.40),1,Dept. 4602____ Dept. 6225____ Dept. 4634____ Dept. 4634X____ Dept. 4521X____ Dept. 4665____ Dept. 6616M
Critical Safety Parts (SV & TL)_2022,Critical Safety Parts [SV & TL],1,Audience for Supervisors and Team Leaders for Critical Safety Parts 2022
Critical Safety Parts [Op and Maintenance],Critical Safety Parts [Op and Maintenance],1,This Audience have Critical Safety Parts [Op and Maintenance] Users only.
Critical Safety Parts [QC & PE],Critical Safety Parts [QC & PE],1,Audience for Critical Safety Parts [QC & PE]
