JOB_CODE,JOB_NAME,created By EmployeeID,JOB_DESC
100258 (old),TEMP,DefaultAdmin,
110021,Production Team Member,DefaultAdmin,This Job is for Production Team Member Users only
110027,Supervisor(delete),DefaultAdmin,
110074,Direct Production Team Member,DefaultAdmin,This Job is for Direct Production Team Member Users only
110076,Direct Quality Control Team Me,DefaultAdmin,This Job is for Direct Quality Control Team Me Users only
110077,Direct Team Leader,DefaultAdmin,This Job is for Direct Team Leader Users only
110097,Quality Engineer II,DefaultAdmin,This Job is for Quality Engineer II Users only
110133,"Shift Leader IV, MTM",DefaultAdmin,"This Job is for Shift Leader IV, MTM Users only"
330062,TPS Technician,DefaultAdmin,
440041,Maintenance Team Member,DefaultAdmin,
550016,Engineering Technician,DefaultAdmin,This Job is for Engineering Technician Users only
550066,Supervisor(delete),DefaultAdmin,
660001,Clerk,DefaultAdmin,This Job is for Clerk Users only
660003,Shipping Specialist,DefaultAdmin,
660004,Packaging Specialist,DefaultAdmin,
660009,Administrator,DefaultAdmin,
660012,"Administrator, Accounting",DefaultAdmin,
660016,Help Desk Operator,DefaultAdmin,
660017,Training Specialist,DefaultAdmin,
660019,Quality Engineering Technician,DefaultAdmin,
660020,Quality Specialist,DefaultAdmin,
660021,Translator,DefaultAdmin,
660026,Supv Maintenance(delete),DefaultAdmin,
660027,Supervisor,DefaultAdmin,
660035,Public Relations Spe,DefaultAdmin,
660036,Human Resources Generalist,DefaultAdmin,
660039,Project Coordinator,DefaultAdmin,
660041,Cost Accountant,DefaultAdmin,
660042,General Accountant,DefaultAdmin,This Job is for General Accountant Users only
660053,Quality Engineer I,DefaultAdmin,
660055,Manufacturing Engineer II,DefaultAdmin,
660057,Quality Engineer II,DefaultAdmin,
660061,Customs Specialists,DefaultAdmin,
660062,"Occupational Health Nurse, SR",DefaultAdmin,
660076,Environmental Specialist,DefaultAdmin,
660088,General Manager,DefaultAdmin,
660093,"Cost Accountant, SR",DefaultAdmin,
660094,Inventory Accountant,DefaultAdmin,This Job is for Inventory Accountant Users only
660095,Ast GM Quality,DefaultAdmin,
660096,"General Manager, Asst",DefaultAdmin,
660104,Vice President,DefaultAdmin,
660107,Production Team Member,DefaultAdmin,
660108,Lead Team Member,DefaultAdmin,
660109,Mold Set-up Team Member,DefaultAdmin,
660110,Maintenance Team Member I,DefaultAdmin,
660111,Maintenance Team Member II,DefaultAdmin,
660121,Quality Engineering Tech II,DefaultAdmin,
660122,Ocup Health Speciali,DefaultAdmin,This Job is for Ocup Health Speciali Users only
660126,Intern,DefaultAdmin,
660127,Supervisor II,DefaultAdmin,
660128,Packaging Engineer I,DefaultAdmin,This Job is for Packaging Engineer I Users only
660129,Project Engineer I,DefaultAdmin,This Job is for Project Engineer I Users only
660131,"Apprentice, MTM",DefaultAdmin,"This Job is for Apprentice, MTM Users only"
660132,Human Resources Generalist SR.,DefaultAdmin,
660135,Machine Engineer I,DefaultAdmin,
660137,Shift Leader,DefaultAdmin,
660144,Ast Mgr Production,DefaultAdmin,
