EmployeeId,ProviderName,EmployeeActive
10094,ILT Content,0
80366,ILT Content,1
86295,ILT Content,0
87571,ILT Content,1
111041,ILT Content,0
142077,ILT Content,1
2220847,ILT Content,0
2407946,ILT Content,0
2409548,ILT Content,0
2459140,ILT Content,0
2459918,ILT Content,0
2501535,ILT Content,0
2502807,ILT Content,0
2506661,ILT Content,0
2507161,ILT Content,0
2513883,ILT Content,0
2515301,ILT Content,0
2516046,ILT Content,0
2517458,ILT Content,0
2517492,ILT Content,0
2517502,ILT Content,0
2518273,ILT Content,0
2518385,ILT Content,0
2518795,ILT Content,0
2518807,ILT Content,0
2518938,ILT Content,0
2519282,ILT Content,0
2519763,ILT Content,0
2519858,ILT Content,0
2520421,ILT Content,0
2521006,ILT Content,0
2521020,ILT Content,0
2521040,ILT Content,0
2521065,ILT Content,0
2521500,ILT Content,0
2521544,ILT Content,0
2521692,ILT Content,0
2521693,ILT Content,0
2525145,ILT Content,0
2525392,ILT Content,0
2527639,ILT Content,0
2528136,ILT Content,0
2528962,ILT Content,0
2529925,ILT Content,0
2530393,ILT Content,0
2530396,ILT Content,0
2531193,ILT Content,0
2531644,ILT Content,0
2531712,ILT Content,0
2533030,ILT Content,0
2534237,ILT Content,0
2657507,ILT Content,0
2665405,ILT Content,0
2698588,ILT Content,0
2733603,ILT Content,0
2733624,ILT Content,0
2734665,ILT Content,0
2734762,ILT Content,0
2810895,ILT Content,0
2828053,ILT Content,0
2836907,ILT Content,0
2839360,ILT Content,0
2842109,ILT Content,0
2845013,ILT Content,0
2845505,ILT Content,0
2846107,ILT Content,0
2847718,ILT Content,0
2847726,ILT Content,0
2848241,ILT Content,0
2848981,ILT Content,0
2849224,ILT Content,0
2850502,ILT Content,0
2853095,ILT Content,0
2853219,ILT Content,0
900181,ILT Content,0
adrianmartinez,ILT Content,0
angleadmin,ILT Content,1
ASK111041,ILT Content,0
Effex02,ILT Content,0
Effex03,ILT Content,0
FS000369,ILT Content,0
jadmin,ILT Content,1
KY004130,ILT Content,1
MT000080951,ILT Content,1
MT000110156,ILT Content,0
NA900569,ILT Content,0
SMX01,ILT Content,0
TX002096,ILT Content,1
1432,ILT Content,1
RTN00143,ILT Content,1
