Topic Code,Parent topic code,TopicName
(ISC)2,Certifications,(ISC)2
_First_Time_Manager_Career_Journey,Percipio,First Time Manager Career Journey
2020_Case_Studies,Perspectives,2020 Case Studies
2020_Mainstage_Keynotes,Perspectives,2020 Mainstage Keynotes
2020_Product_Sessions,Perspectives,2020 Product Sessions
5S,SCP_Resources,5S
5S,Topics,5S
Access,English,Access
Accounting,Topics,Accounting
acm_16,Commcatiotials,Communicating Tactfully and Diplomatically
AdaptingtoChange1,Profionaleness,Adapting to Change
Additional_Professional,CompTIA,Additional Professional
Administrator,Red_Hat,Administrator
ADP,English,ADP
Advancing_Women_in_the_Workplace,Skillsoft_Leadercamps,Advancing Women in the Workplace
Aerospace_&_Mechanical,Engineering,Aerospace & Mechanical
AGG_Leadership,Topics,AGG Leadership
Agile_Career_Journey,Percipio,Agile Career Journey
Agile_Career_Journey,Topics,Agile Career Journey
Agility_for_Digital_Transformation,Digital_Transformation,Agility for Digital Transformation
ald_06,LeadingTeams,Leading Virtual Teams
American_Society_for_Quality_(ASQ),Certifications,American Society for Quality (ASQ)
apd_01,Profionaltials1,Diversity on the Job
apd_08,Timeagemeivity1,Time Management
apd_14,Profionaltials1,Unconscious Bias
apd39,Profionaltials1,"Diversity, Equity, and Inclusion"
apd43,Profionaltials1,Building DEI Leadership Skills
apd44,Profionaltials1,Psychological Safety
Apply_Agile_in_a_Specific_Industry,Agile_Career_Journey,Apply Agile in a Specific Industry
Apprentice_Programmer_to_Journeyman_Programmer,Aspire_Journeys,Apprentice Programmer to Journeyman Programmer
Architecting,AWS,Architecting
Art_of_Great_Consulting,Skillsoft_Leadercamps,Art of Great Consulting
Artificial_Intelligence,Technology,Artificial Intelligence
Aspire_Journeys,Percipio,Aspire Journeys
Aspire_Journeys,Topics,Aspire Journeys
Aspire_Journeys_for_Business_Skills,Percipio,Aspire Journeys for Business Skills
Aspire_Journeys_for_Business_Skills,Topics,Aspire Journeys for Business Skills
Aspire_Journeys_for_Leadership,Percipio,Aspire Journeys for Leadership
Aspire_Journeys_for_Leadership,Topics,Aspire Journeys for Leadership
Aspire_Journeys_for_Technology_&_Developer,Percipio,Aspire Journeys for Technology & Developer
Aspire_Journeys_for_Technology_&_Developer,Topics,Aspire Journeys for Technology & Developer
Associate,Cisco,Associate
Associate,Google,Associate
Associate,Oracle,Associate
Associate_(MTA),Microsoft,Associate (MTA)
ast_01,StrategicThinking,Thinking Strategically and Managing Risk
Auditor,Information_Systems_Audit_and_Control_Association,Auditor
AWS,Certifications,AWS
Banking,Industry_Specific,Banking
Base_Programmer,SAS,Base Programmer
