EmployeeID,ActivityCode,Training Status,RegistrationDate,CompletionDate,DueDate,Score,Success,Notes
1089,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 12:00:00,,,,
1094,Leadership_Emotional Intelligence Training-0002,Attended,09/16/2019 14:10:53.000,10/24/2019 14:55:00.000,,,,
1120,Computer & Software_Microsoft Outlook Class,Attended,03/12/2015 08:00:00,03/12/2015 00:00:00,,,,This is done by admin due to some Technical Issues or Glitches
1129,Computer_FileHold Class,Attended,03/05/2017 08:00:00,03/05/2017 00:00:00,,,,
1156,Core_ Core Operator Training (AGGU) Class,Attended,09/10/2015 08:00:00,09/10/2015 00:00:00,,,,
1166,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 14:48:56.000,11/01/2018 13:00:00,,,,
1214,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:11:16.000,11/01/2018 14:30:00,,,,
1214,Leadership_Emotional Intelligence Training-0002,Attended,12/09/2019 22:20:35,10/24/2019 14:55:00.000,,,,
1246,Computer Skills_Excel Basic Class,Attended,04/24/2017 08:00:00.000,04/28/2017 00:00:00.000,,,,
1246,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
1321,Computer Skills_Excel Intermediate Class,Attended,10/04/2017 08:00:00,04/14/2017 00:00:00.000,,,,
1321,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:23:27.000,11/01/2018 21:00:00,,,,
1321,Leadership_Emotional Intelligence Training-0001,Attended,09/13/2019 21:54:31.000,10/24/2019 14:55:00.000,,,,
1322,Computer Skills_Excel Basic Class,Attended,07/24/2017 08:00:00.000,07/28/2017 00:00:00.000,,,,
1322,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
1378,Computer Skills_Excel Basic Class,Attended,04/30/2017 08:00:00.000,04/30/2017 00:00:00.000,,,,
1397,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
1437,Leadership_Emotional Intelligence Training-0001,Attended,09/17/2019 19:24:09.000,10/24/2019 14:55:00.000,,,,
1467,Computer & Software_Excel Intermediate-0003,Attended,11/16/2018 20:24:56.000,02/15/2019 18:55:00.000,,,,
1467,Computer_FileHold Class,Attended,03/05/2017 08:00:00,03/05/2017 00:00:00,,,,
1500,Core_ Core Operator Training (AGGU) Class,Attended,08/06/2016 08:00:00,09/06/2016 00:00:00,,,,
1520,QR code ILTcourse-0001,Attended,01/22/2024 22:51:08.000,01/22/2024 22:53:23.000,,,,
1521,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:20:56.000,11/01/2018 21:00:00,,,,
1521,Safety_Token Yochi Class,Attended,11/10/2017 08:00:00,11/10/2017 00:00:00,,,,
1521,Technical_Fanuc Level I (Ranken) Class,Attended,12/13/2018 20:22:56.000,03/05/2018 22:00:00,,,,This is done by admin due to some Technical Issues or Glitches
1527,Computer Skills_Excel Basic Class,Attended,03/27/2017 08:00:00.000,03/04/2017 00:00:00,,,,
1529,Core_ Core Operator Training (AGGU) Class,Attended,07/22/2015 08:00:00.000,07/22/2015 00:00:00.000,,,,
1622,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:23:27.000,11/01/2018 21:00:00,,,,
1622,Leadership_Emotional Intelligence Training-0001,Attended,09/20/2019 00:29:38.000,10/24/2019 14:55:00.000,,,,
1634,Leadership_Emotional Intelligence Training-0002,Attended,10/10/2019 15:09:35,10/24/2019 14:55:00.000,,,,
1634,Safety_Token Yochi Class,Attended,07/13/2017 08:00:00.000,07/13/2017 00:00:00.000,,,,
1635,Safety_Token Yochi Class,Attended,02/23/2017 08:00:00.000,02/23/2017 00:00:00.000,,,,
1657,Computer & Software_JDE Class,Attended,09/19/2017 08:00:00.000,09/19/2017 00:00:00.000,,,,
1657,Computer & Software_Microsoft Outlook Class,Attended,09/15/2017 08:00:00.000,09/15/2017 00:00:00.000,,,,This is done by admin due to some Technical Issues or Glitches
1657,Computer Skills_Excel Basic Class,Attended,07/24/2017 08:00:00.000,07/28/2017 00:00:00.000,,,,
1657,Computer Skills_Excel Intermediate Class,Attended,07/08/2017 08:00:00,11/08/2017 00:00:00,,,,
1657,Computer_GDP (eTime dept tracking) Class,Attended,09/15/2017 08:00:00.000,09/15/2017 00:00:00.000,,,,
